,character,consonant,vowel,tone,segment1,segment2,mlabel,slabel,mlabel2,slabel2,freq,consonant1,vowel1,tone1,consonant2,vowel2,tone2
22,咀,j,u,3,口,且,r,r,radical,radical,high,k,ou,3,q,ie,3
23,坥,q,u,1,土,且,r,l,alliterating,rhyming,rare,t,u,3,q,ie,3
24,姐,j,ie,3,女,且,r,r,rhyming,rhyming,high,n,v,3,q,ie,3
25,岨,j,u,1,山,且,r,r,radical,radical,low,sh,an,1,q,ie,3
26,徂,c,u,2,彳,且,r,l,radical,radical,mid,ch,i,4,q,ie,3
27,怚,j,u,4,忄,且,r,l,radical,radical,low,x,in,1,q,ie,3
28,抯,zh,a,1,扌,且,r,l,radical,radical,low,sh,ou,3,q,ie,3
29,柤,zh,a,1,木,且,r,r,radical,radical,low,m,u,4,q,ie,3
30,殂,c,u,2,歹,且,r,r,radical,radical,mid,d,ai,3,q,ie,3
31,沮,j,u,1,氵,且,r,r,radical,radical,high,sh,ui,3,q,ie,3
32,狙,j,u,1,犭,且,r,r,radical,radical,high,q,uan,3,q,ie,3
33,珇,z,u,3,王,且,r,r,radical,radical,low,w,ang,2,q,ie,3
34,砠,q,u,1,石,且,r,r,alliterating,alliterating,low,sh,i,2,q,ie,3
35,祖,z,u,3,礻,且,r,l,radical,radical,high,sh,i,4,q,ie,3
36,租,z,u,1,禾,且,r,r,radical,radical,high,h,e,2,q,ie,3
37,粗,c,u,1,米,且,r,l,radical,radical,high,m,i,3,q,ie,3
38,組,z,u,3,糸,且,r,l,radical,radical,mid,m,i,4,q,ie,3
39,蛆,q,u,1,虫,且,r,r,alliterating,alliterating,high,ch,ong,2,q,ie,3
40,袓,j,u,3,衤,且,r,r,radical,radical,mid,y,i,1,q,ie,3
41,詛,z,u,3,言,且,r,r,radical,radical,mid,y,an,2,q,ie,3
42,豠,c,u,2,豕,且,r,l,radical,radical,rare,sh,i,3,q,ie,3
43,鉏,ch,u,2,釒,且,r,l,radical,radical,low,j,in,1,q,ie,3
44,阻,z,u,3,阝,且,r,l,radical,rhyming,high,f,u,4,q,ie,3
45,駔,z,ang,3,馬,且,r,l,radical,radical,low,m,a,3,q,ie,3
46,齟,j,u,3,齒,且,r,l,radical,radical,low,ch,i,3,q,ie,3
47,伾,p,i,1,亻,丕,r,r,regular,regular,mid,r,en,2,p,i,1
48,秠,p,i,1,禾,丕,r,r,regular,regular,rare,h,e,2,p,i,1
49,胚,p,ei,1,肉,丕,r,r,alliterating,alliterating,high,r,ou,4,p,i,1
50,魾,p,i,2,魚,丕,r,r,regular,regular,rare,y,u,2,p,i,1
51,呭,y,i,4,口,世,r,r,rhyming,rhyming,rare,k,ou,3,sh,i,4
52,抴,y,i,4,扌,世,r,r,rhyming,rhyming,rare,sh,ou,3,sh,i,4
53,泄,x,ie,4,氵,世,r,l,radical,radical,high,sh,ui,3,sh,i,4
54,紲,x,ie,4,糸,世,r,r,radical,radical,rare,m,i,4,sh,i,4
55,詍,y,i,4,言,世,r,l,rhyming,alliterating,low,y,an,2,sh,i,4
56,齛,sh,i,4,齒,世,r,r,regular,regular,rare,ch,i,3,sh,i,4
57,怲,b,ing,3,忄,丙,r,r,regular,regular,rare,x,in,1,b,ing,3
58,柄,b,ing,3,木,丙,r,r,regular,regular,high,m,u,4,b,ing,3
59,炳,b,ing,3,火,丙,r,r,regular,regular,high,h,uo,3,b,ing,3
60,叫,j,iao,4,口,丩,r,r,alliterating,alliterating,high,k,ou,3,j,iu,1
61,朻,j,iu,1,木,丩,r,r,regular,regular,rare,m,u,4,j,iu,1
62,糾,j,iu,1,糸,丩,r,r,regular,regular,low,m,i,4,j,iu,1
63,虯,q,iu,2,虫,丩,r,r,rhyming,rhyming,low,ch,ong,2,j,iu,1
64,觓,j,iu,1,角,丩,r,r,regular,regular,rare,j,iao,3,j,iu,1
65,訆,j,iao,4,言,丩,r,r,alliterating,alliterating,rare,y,an,2,j,iu,1
66,仲,zh,ong,4,亻,中,r,r,regular,regular,high,r,en,2,zh,ong,1
67,忡,ch,ong,1,忄,中,r,r,rhyming,rhyming,high,x,in,1,zh,ong,1
68,沖,ch,ong,1,氵,中,r,r,rhyming,rhyming,mid,sh,ui,3,zh,ong,1
69,狆,zh,ong,4,犭,中,r,r,regular,regular,rare,q,uan,3,zh,ong,1
70,汍,w,an,2,氵,丸,r,r,regular,regular,mid,sh,ui,3,w,an,2
71,紈,w,an,2,糸,丸,r,r,regular,regular,low,m,i,4,w,an,2
72,肒,h,uan,2,肉,丸,r,l,radical,radical,rare,r,ou,4,w,an,2
73,骫,w,ei,3,骨,丸,r,r,alliterating,alliterating,low,g,u,3,w,an,2
74,住,zh,u,4,亻,主,r,r,regular,regular,high,r,en,2,zh,u,3
75,妵,t,ou,3,女,主,r,l,radical,radical,low,n,v,3,zh,u,3
76,柱,zh,u,4,木,主,r,r,regular,regular,high,m,u,4,zh,u,3
77,注,zh,u,4,氵,主,r,r,regular,regular,high,sh,ui,3,zh,u,3
78,註,zh,u,4,言,主,r,r,regular,regular,mid,y,an,2,zh,u,3
79,駐,zh,u,4,馬,主,r,r,regular,regular,mid,m,a,3,zh,u,3
80,吒,zh,a,4,口,乇,r,r,alliterating,alliterating,high,k,ou,3,zh,e,2
81,奼,ch,a,4,女,乇,r,r,radical,radical,mid,n,v,3,zh,e,2
82,托,t,uo,1,扌,乇,r,l,radical,radical,high,sh,ou,3,zh,e,2
83,秅,ch,a,2,禾,乇,r,r,radical,radical,low,h,e,2,zh,e,2
84,虴,zh,e,2,虫,乇,r,r,regular,regular,rare,ch,ong,2,zh,e,2
85,託,t,uo,1,言,乇,r,r,radical,radical,mid,y,an,2,zh,e,2
86,魠,t,uo,2,魚,乇,r,r,radical,radical,low,y,u,2,zh,e,2
87,作,z,uo,4,亻,乍,r,r,radical,radical,high,r,en,2,zh,a,4
88,咋,zh,a,4,口,乍,r,r,regular,regular,high,k,ou,3,zh,a,4
89,怍,z,uo,4,忄,乍,r,r,radical,radical,mid,x,in,1,zh,a,4
90,昨,z,uo,2,日,乍,r,r,radical,radical,high,r,i,4,zh,a,4
91,柞,z,uo,4,木,乍,r,r,radical,radical,mid,m,u,4,zh,a,4
92,炸,zh,a,4,火,乍,r,r,regular,regular,high,h,uo,3,zh,a,4
93,祚,z,uo,4,礻,乍,r,r,radical,radical,mid,sh,i,4,zh,a,4
94,秨,z,uo,2,禾,乍,r,r,radical,radical,low,h,e,2,zh,a,4
95,胙,z,uo,4,肉,乍,r,l,radical,radical,mid,r,ou,4,zh,a,4
96,詐,zh,a,4,言,乍,r,r,regular,regular,low,y,an,2,zh,a,4
97,酢,z,uo,4,酉,乍,r,r,radical,radical,mid,y,ou,3,zh,a,4
98,阼,z,uo,4,阝,乍,r,r,radical,radical,mid,f,u,4,zh,a,4
99,鮓,zh,a,3,魚,乍,r,r,regular,regular,rare,y,u,2,zh,a,4
100,齚,c,uo,4,齒,乍,r,r,radical,radical,rare,ch,i,3,zh,a,4
101,姂,f,a,2,女,乏,r,r,regular,regular,rare,n,v,3,f,a,2
102,泛,f,an,4,氵,乏,r,r,alliterating,alliterating,high,sh,ui,3,f,a,2
103,眨,zh,a,3,目,乏,r,r,rhyming,rhyming,high,m,u,4,f,a,2
104,砭,b,ian,1,石,乏,r,r,radical,radical,mid,sh,i,2,f,a,2
105,貶,b,ian,3,貝,乏,r,r,radical,radical,low,b,ei,4,f,a,2
106,肊,y,i,4,月,乙,r,r,regular,regular,mid,y,ue,4,y,i,3
107,乢,g,ai,4,山,乚,r,l,radical,radical,low,sh,an,1,y,i,3
108,扎,zh,a,1,扌,乚,r,l,radical,radical,high,sh,ou,3,y,i,3
109,札,zh,a,2,木,乚,r,l,radical,radical,high,m,u,4,y,i,3
110,軋,y,a,4,車,乚,r,r,alliterating,alliterating,high,ch,e,1,y,i,3
111,仇,ch,ou,2,亻,九,r,r,radical,radical,high,r,en,2,j,iu,3
112,肍,q,iu,2,肉,九,r,r,rhyming,rhyming,rare,r,ou,4,j,iu,3
113,軌,g,ui,3,車,九,r,l,radical,radical,low,ch,e,1,j,iu,3
114,鼽,q,iu,2,鼻,九,r,r,rhyming,rhyming,low,b,i,2,j,iu,3
115,地,d,i,4,土,也,r,l,radical,radical,high,t,u,3,y,e,3
116,弛,ch,i,2,弓,也,r,l,radical,radical,high,g,ong,1,y,e,3
117,杝,y,i,2,木,也,r,r,alliterating,alliterating,low,m,u,4,y,e,3
118,池,ch,i,2,氵,也,r,l,radical,radical,high,sh,ui,3,y,e,3
119,灺,x,ie,4,火,也,r,l,radical,radical,low,h,uo,3,y,e,3
120,貤,y,i,2,貝,也,r,r,alliterating,alliterating,rare,b,ei,4,y,e,3
121,酏,y,i,2,酉,也,r,r,alliterating,alliterating,low,y,ou,3,y,e,3
122,釶,sh,i,1,釒,也,r,l,radical,radical,rare,j,in,1,y,e,3
123,馳,ch,i,2,馬,也,r,l,radical,radical,low,m,a,3,y,e,3
124,抒,sh,u,1,扌,予,r,l,rhyming,alliterating,high,sh,ou,3,y,u,2
125,杼,zh,u,4,木,予,r,l,rhyming,rhyming,mid,m,u,4,y,u,2
126,紓,sh,u,1,糸,予,r,l,rhyming,radical,mid,m,i,4,y,u,2
127,野,y,e,3,里,予,r,r,alliterating,alliterating,high,l,i,3,y,u,2
128,吁,x,u,1,口,于,r,l,rhyming,radical,high,k,ou,3,y,u,2
130,汙,w,u,1,氵,于,r,r,rhyming,rhyming,mid,sh,ui,3,y,u,2
131,紆,y,u,1,糸,于,r,r,regular,regular,low,m,i,4,y,u,2
132,訏,x,u,1,言,于,r,r,rhyming,rhyming,mid,y,an,2,y,u,2
133,扝,k,u,1,扌,亏,r,l,rhyming,radical,low,sh,ou,3,y,u,2
134,杇,w,u,1,木,亏,r,r,rhyming,rhyming,low,m,u,4,y,u,2
135,釫,h,ua,2,釒,亏,r,l,radical,radical,rare,j,in,1,y,u,2
136,虧,k,ui,1,雐,亏,r,l,radical,radical,mid,h,u,1,y,u,2
137,妘,y,un,2,女,云,r,r,regular,regular,mid,n,v,3,y,un,2
138,抎,y,un,3,扌,云,r,r,regular,regular,rare,sh,ou,3,y,un,2
139,沄,y,un,2,氵,云,r,r,regular,regular,mid,sh,ui,3,y,un,2
140,紜,y,un,2,糸,云,r,r,regular,regular,mid,m,i,4,y,un,2
141,耘,y,un,2,耒,云,r,r,regular,regular,high,l,ei,3,y,un,2
142,妌,j,ing,4,女,井,r,r,regular,regular,low,n,v,3,j,ing,3
143,耕,g,eng,1,耒,井,r,l,radical,radical,high,l,ei,3,j,ing,3
144,阱,j,ing,3,阝,井,r,r,regular,regular,high,f,u,4,j,ing,3
145,咺,x,uan,3,口,亘,r,l,radical,radical,low,k,ou,3,g,en,4
146,垣,y,uan,2,土,亘,r,r,radical,radical,high,t,u,3,g,en,4
147,桓,h,uan,2,木,亘,r,r,radical,radical,high,m,u,4,g,en,4
148,絙,g,eng,1,糸,亘,r,r,alliterating,alliterating,low,m,i,4,g,en,4
149,甿,m,eng,2,田,亡,r,l,radical,radical,low,t,ian,2,w,ang,2
150,虻,m,eng,2,虫,亡,r,l,radical,radical,mid,ch,ong,2,w,ang,2
151,伉,k,ang,4,亻,亢,r,r,regular,regular,mid,r,en,2,k,ang,4
152,吭,h,ang,2,口,亢,r,r,rhyming,rhyming,high,k,ou,3,k,ang,4
153,坑,k,eng,1,土,亢,r,r,alliterating,alliterating,high,t,u,3,k,ang,4
154,忼,k,ang,1,忄,亢,r,r,regular,regular,low,x,in,1,k,ang,4
155,抗,k,ang,4,扌,亢,r,r,regular,regular,high,sh,ou,3,k,ang,4
156,杭,h,ang,2,木,亢,r,r,rhyming,rhyming,high,m,u,4,k,ang,4
157,沆,h,ang,2,氵,亢,r,r,rhyming,rhyming,mid,sh,ui,3,k,ang,4
158,炕,k,ang,4,火,亢,r,r,regular,regular,high,h,uo,3,k,ang,4
159,犺,k,ang,4,犭,亢,r,r,regular,regular,low,q,uan,3,k,ang,4
160,航,h,ang,2,舟,亢,r,r,rhyming,rhyming,high,zh,ou,1,k,ang,4
161,阬,k,eng,1,阝,亢,r,r,alliterating,alliterating,low,f,u,4,k,ang,4
162,魧,h,ang,2,魚,亢,r,r,rhyming,rhyming,rare,y,u,2,k,ang,4
163,佼,j,iao,3,亻,交,r,r,regular,regular,high,r,en,2,j,iao,1
164,咬,y,ao,3,口,交,r,r,radical,radical,high,k,ou,3,j,iao,1
165,姣,j,iao,1,女,交,r,r,regular,regular,high,n,v,3,j,iao,1
166,校,x,iao,4,木,交,r,r,rhyming,rhyming,high,m,u,4,j,iao,1
167,洨,x,iao,2,氵,交,r,r,rhyming,rhyming,mid,sh,ui,3,j,iao,1
168,烄,j,iao,3,火,交,r,r,regular,regular,rare,h,uo,3,j,iao,1
169,狡,j,iao,3,犭,交,r,r,regular,regular,high,q,uan,3,j,iao,1
170,皎,j,iao,3,白,交,r,r,regular,regular,high,b,ai,2,j,iao,1
171,絞,j,iao,3,糸,交,r,r,regular,regular,low,m,i,4,j,iao,1
172,蛟,j,iao,1,虫,交,r,r,regular,regular,high,ch,ong,2,j,iao,1
173,較,j,iao,4,車,交,r,r,regular,regular,mid,ch,e,1,j,iao,1
174,餃,j,iao,3,飠,交,r,r,regular,regular,low,sh,i,2,j,iao,1
175,駮,b,o,2,馬,交,r,r,radical,radical,low,m,a,3,j,iao,1
176,骹,q,iao,1,骨,交,r,r,rhyming,rhyming,low,g,u,3,j,iao,1
177,鮫,j,iao,1,魚,交,r,r,regular,regular,mid,y,u,2,j,iao,1
178,齩,y,ao,3,齒,交,r,r,radical,radical,rare,ch,i,3,j,iao,1
179,侅,g,ai,1,亻,亥,r,r,rhyming,rhyming,rare,r,en,2,h,ai,4
180,咳,k,e,2,口,亥,r,l,radical,alliterating,high,k,ou,3,h,ai,4
181,垓,g,ai,1,土,亥,r,r,rhyming,rhyming,mid,t,u,3,h,ai,4
182,孩,h,ai,2,子,亥,r,r,regular,regular,high,z,i,3,h,ai,4
183,晐,g,ai,1,日,亥,r,r,rhyming,rhyming,rare,r,i,4,h,ai,4
184,核,h,e,2,木,亥,r,r,alliterating,alliterating,high,m,u,4,h,ai,4
185,胲,h,ai,3,肉,亥,r,r,regular,regular,mid,r,ou,4,h,ai,4
186,該,g,ai,1,言,亥,r,r,rhyming,rhyming,mid,y,an,2,h,ai,4
187,陔,g,ai,1,阝,亥,r,r,rhyming,rhyming,mid,f,u,4,h,ai,4
188,駭,h,ai,4,馬,亥,r,r,regular,regular,low,m,a,3,h,ai,4
189,骸,h,ai,2,骨,亥,r,r,regular,regular,high,g,u,3,h,ai,4
190,倞,j,ing,4,亻,京,r,r,regular,regular,mid,r,en,2,j,ing,1
191,掠,l,ve,4,扌,京,r,r,radical,radical,high,sh,ou,3,j,ing,1
192,椋,l,iang,2,木,京,r,r,radical,radical,mid,m,u,4,j,ing,1
193,涼,l,iang,2,氵,京,r,l,radical,radical,mid,sh,ui,3,j,ing,1
194,諒,l,iang,4,言,京,r,r,radical,radical,mid,y,an,2,j,ing,1
195,輬,l,iang,2,車,京,r,l,radical,radical,rare,ch,e,1,j,ing,1
196,鍄,l,iang,4,釒,京,r,l,radical,radical,rare,j,in,1,j,ing,1
197,鯨,j,ing,1,魚,京,r,r,regular,regular,low,y,u,2,j,ing,1
198,黥,q,ing,2,黑,京,r,r,rhyming,rhyming,mid,h,ei,1,j,ing,1
199,儃,ch,an,2,亻,亶,r,r,rhyming,rhyming,low,r,en,2,d,an,3
200,壇,t,an,2,土,亶,r,r,rhyming,rhyming,low,t,u,3,d,an,3
201,嬗,sh,an,4,女,亶,r,r,rhyming,rhyming,mid,n,v,3,d,an,3
202,擅,sh,an,4,扌,亶,r,l,rhyming,alliterating,high,sh,ou,3,d,an,3
203,檀,t,an,2,木,亶,r,r,rhyming,rhyming,high,m,u,4,d,an,3
204,澶,ch,an,2,氵,亶,r,r,rhyming,rhyming,mid,sh,ui,3,d,an,3
205,羶,sh,an,1,羊,亶,r,r,rhyming,rhyming,low,y,ang,2,d,an,3
206,膻,d,an,4,肉,亶,r,r,regular,regular,mid,r,ou,4,d,an,3
207,蟺,sh,an,4,虫,亶,r,r,rhyming,rhyming,rare,ch,ong,2,d,an,3
208,饘,zh,an,1,飠,亶,r,r,rhyming,rhyming,low,sh,i,2,d,an,3
209,驙,zh,an,1,馬,亶,r,r,rhyming,rhyming,rare,m,a,3,d,an,3
210,鱣,zh,an,1,魚,亶,r,r,rhyming,rhyming,rare,y,u,2,d,an,3
211,吟,y,in,2,口,今,r,r,rhyming,rhyming,high,k,ou,3,j,in,1
212,妗,j,in,4,女,今,r,r,regular,regular,mid,n,v,3,j,in,1
213,肣,h,an,2,月,今,r,r,radical,radical,rare,y,ue,4,j,in,1
214,玪,j,ian,1,王,今,r,r,alliterating,alliterating,rare,w,ang,2,j,in,1
215,矜,j,in,1,矛,今,r,r,regular,regular,high,m,ao,2,j,in,1
216,紟,j,in,1,糸,今,r,r,regular,regular,mid,m,i,4,j,in,1
217,耹,q,in,2,耳,今,r,r,rhyming,rhyming,low,0,er,3,j,in,1
218,衿,j,in,1,衤,今,r,r,regular,regular,mid,y,i,1,j,in,1
219,訡,y,in,2,言,今,r,l,rhyming,alliterating,rare,y,an,2,j,in,1
220,鈐,q,ian,2,釒,今,r,r,radical,radical,mid,j,in,1,j,in,1
221,霒,y,in,1,雲,今,r,l,rhyming,alliterating,rare,y,un,2,j,in,1
222,靲,q,in,2,革,今,r,r,rhyming,rhyming,rare,g,e,2,j,in,1
223,黔,q,ian,2,黑,今,r,r,radical,radical,high,h,ei,1,j,in,1
224,价,j,ia,4,亻,介,r,r,alliterating,alliterating,high,r,en,2,j,ie,4
225,妎,x,ie,4,女,介,r,r,rhyming,rhyming,rare,n,v,3,j,ie,4
226,忦,y,e,4,忄,介,r,r,radical,radical,rare,x,in,1,j,ie,4
227,扴,j,ia,2,扌,介,r,r,alliterating,alliterating,rare,sh,ou,3,j,ie,4
228,玠,j,ie,4,王,介,r,r,regular,regular,mid,w,ang,2,j,ie,4
229,衸,x,ie,4,衤,介,r,r,rhyming,rhyming,rare,y,i,1,j,ie,4
230,齘,x,ie,4,齒,介,r,r,rhyming,rhyming,rare,ch,i,3,j,ie,4
231,咐,f,u,4,口,付,r,r,regular,regular,high,k,ou,3,f,u,4
232,坿,f,u,4,土,付,r,r,regular,regular,rare,t,u,3,f,u,4
233,拊,f,u,3,扌,付,r,r,regular,regular,mid,sh,ou,3,f,u,4
234,柎,f,u,1,木,付,r,r,regular,regular,low,m,u,4,f,u,4
235,泭,f,u,1,氵,付,r,r,regular,regular,rare,sh,ui,3,f,u,4
236,祔,f,u,4,礻,付,r,r,regular,regular,mid,sh,i,4,f,u,4
237,紨,f,u,4,糸,付,r,r,regular,regular,rare,m,i,4,f,u,4
238,附,f,u,4,阝,付,r,r,regular,regular,high,f,u,4,f,u,4
239,駙,f,u,4,馬,付,r,r,regular,regular,high,m,a,3,f,u,4
240,鮒,f,u,4,魚,付,r,r,regular,regular,mid,y,u,2,f,u,4
241,伶,l,ing,2,亻,令,r,r,regular,regular,high,r,en,2,l,ing,4
242,冷,l,eng,3,冫,令,r,r,alliterating,alliterating,high,b,ing,1,l,ing,4
243,怜,l,ian,2,忄,令,r,r,alliterating,alliterating,high,x,in,1,l,ing,4
244,柃,l,ing,2,木,令,r,r,regular,regular,mid,m,u,4,l,ing,4
245,泠,l,ing,2,氵,令,r,r,regular,regular,high,sh,ui,3,l,ing,4
246,玲,l,ing,2,王,令,r,r,regular,regular,high,w,ang,2,l,ing,4
247,矝,l,in,2,矛,令,r,r,alliterating,alliterating,low,m,ao,2,l,ing,4
248,羚,l,ing,2,羊,令,r,r,regular,regular,high,y,ang,2,l,ing,4
249,聆,l,ing,2,耳,令,r,r,regular,regular,high,0,er,3,l,ing,4
250,蛉,l,ing,2,虫,令,r,r,regular,regular,mid,ch,ong,2,l,ing,4
251,鈴,l,ing,2,釒,令,r,r,regular,regular,mid,j,in,1,l,ing,4
252,魿,l,ing,2,魚,令,r,r,regular,regular,low,y,u,2,l,ing,4
253,齡,l,ing,2,齒,令,r,r,regular,regular,mid,ch,i,3,l,ing,4
254,俆,x,u,2,亻,余,r,l,rhyming,radical,low,r,en,2,y,u,2
255,徐,x,u,2,彳,余,r,l,rhyming,radical,high,ch,i,4,y,u,2
256,捈,t,u,2,扌,余,r,l,rhyming,radical,rare,sh,ou,3,y,u,2
257,涂,t,u,2,氵,余,r,l,rhyming,radical,high,sh,ui,3,y,u,2
258,畭,y,u,2,田,余,r,r,regular,regular,rare,t,ian,2,y,u,2
259,稌,t,u,2,禾,余,r,l,rhyming,radical,low,h,e,2,y,u,2
260,蜍,ch,u,2,虫,余,r,l,rhyming,alliterating,mid,ch,ong,2,y,u,2
261,賖,sh,e,1,貝,余,r,l,radical,radical,low,b,ei,4,y,u,2
262,酴,t,u,2,酉,余,r,r,rhyming,rhyming,mid,y,ou,3,y,u,2
263,除,ch,u,2,阝,余,r,l,rhyming,rhyming,high,f,u,4,y,u,2
264,餘,y,u,2,飠,余,r,r,regular,regular,mid,sh,i,2,y,u,2
265,駼,t,u,2,馬,余,r,l,rhyming,radical,mid,m,a,3,y,u,2
266,徠,l,ai,2,彳,來,r,r,regular,regular,low,ch,i,4,l,ai,2
267,淶,l,ai,2,氵,來,r,r,regular,regular,mid,sh,ui,3,l,ai,2
268,睞,l,ai,4,目,來,r,r,regular,regular,low,m,u,4,l,ai,2
269,騋,l,ai,2,馬,來,r,r,regular,regular,low,m,a,3,l,ai,2
270,倫,l,un,2,亻,侖,r,r,regular,regular,mid,r,en,2,l,un,2
271,惀,l,un,2,忄,侖,r,r,regular,regular,rare,x,in,1,l,un,2
272,掄,l,un,1,扌,侖,r,r,regular,regular,low,sh,ou,3,l,un,2
273,棆,zh,un,1,木,侖,r,r,rhyming,rhyming,mid,m,u,4,l,un,2
274,淪,l,un,2,氵,侖,r,r,regular,regular,low,sh,ui,3,l,un,2
275,睔,h,un,3,目,侖,r,r,rhyming,rhyming,rare,m,u,4,l,un,2
276,綸,l,un,2,糸,侖,r,r,regular,regular,rare,m,i,4,l,un,2
277,蜦,l,un,2,虫,侖,r,r,regular,regular,rare,ch,ong,2,l,un,2
278,論,l,un,4,言,侖,r,r,regular,regular,mid,y,an,2,l,un,2
279,輪,l,un,2,車,侖,r,r,regular,regular,mid,ch,e,1,l,un,2
280,陯,l,un,2,阝,侖,r,r,regular,regular,rare,f,u,4,l,un,2
281,凔,c,ang,1,冫,倉,r,r,regular,regular,low,b,ing,1,c,ang,1
282,愴,ch,uang,4,忄,倉,r,r,radical,radical,high,x,in,1,c,ang,1
283,搶,q,iang,3,扌,倉,r,r,radical,radical,mid,sh,ou,3,c,ang,1
284,槍,q,iang,1,木,倉,r,r,radical,radical,mid,m,u,4,c,ang,1
285,滄,c,ang,1,氵,倉,r,r,regular,regular,low,sh,ui,3,c,ang,1
286,牄,q,iang,1,爿,倉,r,l,radical,regular,rare,q,iang,2,c,ang,1
287,瑲,q,iang,1,王,倉,r,r,radical,radical,rare,w,ang,2,c,ang,1
288,艙,c,ang,1,舟,倉,r,r,regular,regular,low,zh,ou,1,c,ang,1
289,鎗,q,iang,1,釒,倉,r,r,radical,radical,mid,j,in,1,c,ang,1
290,儉,j,ian,3,亻,僉,r,r,rhyming,rhyming,low,r,en,2,q,ian,1
291,噞,y,an,3,口,僉,r,r,radical,radical,rare,k,ou,3,q,ian,1
292,嬐,x,ian,1,女,僉,r,r,rhyming,rhyming,low,n,v,3,q,ian,1
293,嶮,x,ian,3,山,僉,r,r,rhyming,rhyming,rare,sh,an,1,q,ian,1
294,憸,x,ian,1,忄,僉,r,r,rhyming,rhyming,low,x,in,1,q,ian,1
295,撿,j,ian,3,扌,僉,r,r,rhyming,rhyming,mid,sh,ou,3,q,ian,1
296,檢,j,ian,3,木,僉,r,r,rhyming,rhyming,mid,m,u,4,q,ian,1
297,獫,x,ian,3,犭,僉,r,r,rhyming,rhyming,mid,q,uan,3,q,ian,1
298,瞼,j,ian,3,目,僉,r,r,rhyming,rhyming,low,m,u,4,q,ian,1
299,臉,l,ian,3,肉,僉,r,r,rhyming,rhyming,mid,r,ou,4,q,ian,1
300,譣,q,ian,1,言,僉,r,r,regular,regular,rare,y,an,2,q,ian,1
301,醶,j,iao,4,酉,僉,r,r,radical,radical,rare,y,ou,3,q,ian,1
302,險,x,ian,3,阝,僉,r,r,rhyming,rhyming,mid,f,u,4,q,ian,1
303,驗,y,an,4,馬,僉,r,r,radical,radical,mid,m,a,3,q,ian,1
304,鹼,j,ian,3,鹵,僉,r,r,rhyming,rhyming,rare,l,u,3,q,ian,1
305,吮,sh,un,3,口,允,r,l,rhyming,radical,high,k,ou,3,y,un,3
306,沇,y,an,3,氵,允,r,r,alliterating,alliterating,low,sh,ui,3,y,un,3
307,玧,y,un,3,王,允,r,r,regular,regular,mid,w,ang,2,y,un,3
308,鈗,y,un,3,釒,允,r,r,regular,regular,rare,j,in,1,y,un,3
309,阭,y,un,3,阝,允,r,r,regular,regular,rare,f,u,4,y,un,3
310,忨,w,an,4,忄,元,r,r,radical,radical,rare,x,in,1,y,uan,2
311,沅,y,uan,2,氵,元,r,r,regular,regular,high,sh,ui,3,y,uan,2
312,玩,w,an,2,王,元,r,r,radical,radical,high,w,ang,2,y,uan,2
313,蚖,y,uan,2,虫,元,r,r,regular,regular,low,ch,ong,2,y,uan,2
314,貦,w,an,4,貝,元,r,r,radical,radical,rare,b,ei,4,y,uan,2
315,阮,r,uan,3,阝,元,r,l,rhyming,radical,high,f,u,4,y,uan,2
